Entity,Code,Year,Oil (terrawatt-hours),Coal (terrawatt-hours),Gas (terrawatt-hours),Hydropower (terrawatt-hours),Nuclear (terrawatt-hours),Solar (terrawatt-hours),Wind (terrawatt-hours),Other renewables (terawatt-hours)
Switzerland,CHE,2005,148.30247941961576,1.6777777777777831,29.12750000000001,82.18394471025945,60.997229916897915,0.05526315789473663,0.021052631578947288,2.673684210526303
Switzerland,CHE,2006,151.9946654069277,1.811111111111107,28.322499999999984,81.4785752259426,72.69806094182881,0.06315789473684186,0.03947368421052616,2.9868421052631446
Switzerland,CHE,2007,137.10698648264884,2.0277777777777777,27.57749999999992,92.77211589579902,72.97506925207806,0.07631578947368392,0.042105263157894576,3.102631578947353
Switzerland,CHE,2008,146.2011031511598,1.8222222222222184,29.382499999999958,94.84048378521942,72.38781163434956,0.09736842105263122,0.04999999999999981,3.2342105263157794
Switzerland,CHE,2009,148.5216380933334,1.7194444444444448,28.20249999999996,94.01871345029122,72.3518005540171,0.14210526315789465,0.06052631578947345,3.2342105263157794
Switzerland,CHE,2010,137.8800229533333,1.7250000000000003,31.502499999999902,94.90600744284835,69.81994459833851,0.2473684210526311,0.09736842105263122,3.3473684210526176
Switzerland,CHE,2011,133.7500590218682,1.5944444444444483,27.942500000000003,85.24569377990325,70.80332409972345,0.4421052631578928,0.18421052631578877,3.644736842105253
Switzerland,CHE,2012,136.26787944861138,1.4361111111111065,30.629999999999974,101.58971291865906,67.43767313019443,0.7868421052631547,0.23157894736841994,4.018421052631563
Switzerland,CHE,2013,142.63947957722255,1.5472222222222196,32.25749999999998,101.22293992557033,68.89473684210581,1.3157894736842053,0.23684210526315697,4.228947368421033
Switzerland,CHE,2014,127.99714020583303,1.583333333333337,27.942500000000003,100.10539606592123,73.04709141274296,2.2157894736841977,0.26578947368420963,4.3973684210526125
Switzerland,CHE,2015,129.9266075808338,1.4472222222222177,29.854999999999993,100.68907496012636,61.20498614958494,2.944736842105253,0.2894736842105252,4.213157894736828
Switzerland,CHE,2016,123.1671864527861,1.3305555555555608,31.364999999999913,91.12612971823381,56.05263157894777,3.507894736842087,0.2868421052631567,4.539473684210506
Switzerland,CHE,2017,126.552562629842,1.2805555555555599,31.497500000000013,89.7246411483242,54.01385041551285,4.428947368421038,0.349999999999999,4.836842105263141
Switzerland,CHE,2018,122.36982299527739,1.2805555555555599,29.930198266772955,91.58931623028084,67.62880886426639,5.150977443609007,0.349999999999999,5.194924741391227
Taiwan,TWN,1965,25.68817333333332,34.71555,2.3071750000000066,9.664530000000001,0,0,0,0
Taiwan,TWN,1966,30.38877694444443,34.52947,2.589274999999995,10.03669,0,0,0,0
Taiwan,TWN,1967,36.09286527777778,35.04119,3.3449,9.45519,0,0,0,0
Taiwan,TWN,1968,43.046484166666666,35.32031,4.715099999999998,13.76992,0,0,0,0
Taiwan,TWN,1969,51.54931722222224,32.42444,5.9241000000000055,10.490260000000001,0,0,0,0
Taiwan,TWN,1970,61.90600361111111,31.680120000000006,5.620257595874997,9.362150000000002,0,0,0,0
Taiwan,TWN,1971,86.65053888888885,28.132970000000004,11.2975736445,8.141,0,0,0,0
Taiwan,TWN,1972,93.77132500000003,26.79552,13.151973358875024,9.583120000000001,0,0,0,0
Taiwan,TWN,1973,119.62498944444438,23.98106,15.177548431499996,8.931840000000001,0,0,0,0
Taiwan,TWN,1974,107.38308861111106,24.411370000000005,15.976366770000034,12.397580000000001,0,0,0,0
Taiwan,TWN,1975,124.4416197222218,22.25982,15.862249864500045,13.828070000000002,0,0,0,0
Taiwan,TWN,1976,160.90162916666614,23.574010000000005,19.747042200000003,11.25784,0,0,0,0
Taiwan,TWN,1977,177.99305055555607,26.993230000000004,20.8408437,10.594930000000002,0.26749,0,0,0
Taiwan,TWN,1978,208.5923258333331,29.78443,20.5289271,13.072120000000002,7.02452,0,0,0
Taiwan,TWN,1979,209.58989861111058,37.599790000000006,19.8171711,12.02542,16.65416,0,0,0
Taiwan,TWN,1980,217.76823805555563,44.484750000000005,20.4996195,7.7106900000000005,21.57365,0,0,0
Taiwan,TWN,1981,191.7102888888894,41.0539,17.468376300000003,12.606920000000002,28.074820000000003,0,0,0
Taiwan,TWN,1982,184.33883777777794,47.13324990000001,14.8432527,13.071694736842106,34.43212368421045,0,0,0.02179473684210512
Taiwan,TWN,1983,188.70198138888867,63.624485230000005,13.855167900000001,13.125657894736737,49.74657631578924,0,0,0.011960526315789368
Taiwan,TWN,1984,184.02190333333314,73.81457493,13.942044000000003,11.540265789473645,64.70775263157864,0,0,0.009226315789473643
Taiwan,TWN,1985,224.2832639974682,78.1934909,12.4986447,15.792444736842066,75.59668421052602,0,0,0.007778947368421025
Taiwan,TWN,1986,248.00358740977526,95.19452728000002,11.388096,16.13137368421048,70.89683421052608,0,0,0.011926315789473667
Taiwan,TWN,1987,257.85085489288866,102.99450079,11.518417476900002,14.497239473684123,87.17981052631548,0,0,0.0074394736842104976
Taiwan,TWN,1988,295.5735341911454,119.35642215000001,13.138313424300001,12.307813157894715,80.66119736842072,0,0,0.008168421052631552
Taiwan,TWN,1989,327.97755493633866,124.90119910000001,13.235775848100001,12.79856315789472,74.4108894736839,0,0,0.008521052631578917
Taiwan,TWN,1990,339.3577134687144,123.20413787,21.2429073375,16.792576315789354,86.48934999999973,0,0,0.00736842105263155
Taiwan,TWN,1991,351.6971350508588,134.74351691,30.850605208395002,10.141173684210486,92.86863684210496,0,0,0.004736842105263139
Taiwan,TWN,1992,361.5272084128815,155.68302953,30.593305257390004,17.252610526315756,89.06448684210491,0,0,0.004999999999999981
Taiwan,TWN,1993,387.1922829773463,173.61047682,32.017347871488006,10.812713157894692,90.40567105263126,0,0,0.003684210526315775
Taiwan,TWN,1994,409.6440480793665,180.91992019,38.884527905391,13.319802631578934,91.76459210526276,0,0,0.000034210526315789344
